concurrency,request,success,status,ttft_seconds,total_seconds,completion_tokens,output_tokens_per_second,finish_reason,error
2,1,True,200,0.04778945818543434,0.41663316590711474,35,94.89114025068326,stop,
2,2,True,200,0.04106729105114937,0.40662591625005007,35,95.74387687051967,stop,
2,3,True,200,0.03808800037950277,0.4150112923234701,35,92.8570898855543,stop,
2,4,True,200,0.03697245800867677,0.4152055000886321,35,92.53554318662961,stop,
2,5,True,200,0.0367680829949677,0.3908257079310715,35,98.85396482088584,stop,
2,6,True,200,0.03480520797893405,0.39103487506508827,35,98.25122170842454,stop,
2,7,True,200,0.038746458012610674,0.40580774983391166,35,95.3519229073037,stop,
2,8,True,200,0.03721775021404028,0.4051294173114002,35,95.13153055496336,stop,
4,1,True,200,0.0360705410130322,0.40767891611903906,35,94.185175428341,stop,
4,2,True,200,0.04355512512847781,0.4174759997986257,35,93.60269075877362,stop,
4,3,True,200,0.04341504164040089,0.41717070899903774,35,93.64406497792524,stop,
4,4,True,200,0.04321595886722207,0.4167129588313401,35,93.70891868840302,stop,
4,5,True,200,0.037078500259667635,0.40599479200318456,35,94.87247048534572,stop,
4,6,True,200,0.03549725003540516,0.40685770800337195,35,94.24805266429057,stop,
4,7,True,200,0.035295958165079355,0.40667300019413233,35,94.24384396185141,stop,
4,8,True,200,0.03509187512099743,0.4064932921901345,35,94.23765874723273,stop,
8,1,True,200,0.04201070824638009,0.35343783302232623,29,93.11969861605289,stop,
8,2,True,200,0.033101791981607676,0.4077840419486165,35,93.41248485371749,stop,
8,3,True,200,0.04155533388257027,0.3533177087083459,29,93.01956342937879,stop,
8,4,True,200,0.041580833960324526,0.35355408396571875,29,92.9566877913365,stop,
8,5,True,200,0.04119879100471735,0.3531125411391258,29,92.97441997187829,stop,
8,6,True,200,0.041083917021751404,0.352505125105381,29,93.12146779744135,stop,
8,7,True,200,0.040717000141739845,0.3528081248514354,29,92.92157867986649,stop,
8,8,True,200,0.040301000233739614,0.3525146674364805,29,92.88510736837279,stop,
