trial,success,status,ttft_seconds,total_seconds,completion_tokens,output_tokens_per_second,finish_reason,error
1,True,200,0.02731875004246831,0.4025557078421116,29,77.2844982276092,stop,
2,True,200,0.027982749976217747,0.3870420828461647,29,80.76659578294249,stop,
3,True,200,0.03385083330795169,0.40441941702738404,29,78.25811813004822,stop,
4,True,200,0.03069983283057809,0.3950283327139914,29,79.59849424154335,stop,
5,True,200,0.030066207982599735,0.38555604219436646,29,81.57757890405547,stop,
6,True,200,0.030938916839659214,0.39848566707223654,29,78.90152744283358,stop,
7,True,200,0.02998258313164115,0.3858838747255504,29,81.48326708825097,stop,
8,True,200,0.029530332889407873,0.39814412500709295,29,78.67312786479066,stop,
9,True,200,0.0315895420499146,0.4087802921421826,29,76.88417595846677,stop,
10,True,200,0.027557958848774433,0.40387354185804725,29,77.06297934328542,stop,
11,True,200,0.03067708294838667,0.3930708752013743,29,80.02344582038276,stop,
12,True,200,0.030049083288758993,0.4125617924146354,29,75.81447441647421,stop,
13,True,200,0.031683999579399824,0.4136612918227911,29,75.92074342869982,stop,
14,True,200,0.030334250070154667,0.39981070812791586,29,78.4894392255605,stop,
15,True,200,0.03019504202529788,0.38364775013178587,29,82.04775160829409,stop,
16,True,200,0.029596291948109865,0.397662041708827,29,78.7902705395793,stop,
17,True,200,0.02955812495201826,0.3896270003169775,29,80.54014657780718,stop,
18,True,200,0.030857666861265898,0.39000574965029955,29,80.74663736137727,stop,
19,True,200,0.026905125007033348,0.480322124902159,29,63.95878409214396,stop,
20,True,200,0.05868579214438796,0.44381575006991625,29,75.29925783028196,stop,
