concurrency,request,success,status,ttft_seconds,total_seconds,completion_tokens,output_tokens_per_second,finish_reason,error
2,1,True,200,0.06681949971243739,0.799259833060205,35,47.785462387120845,stop,
2,2,True,200,0.04687429219484329,0.5027768327854574,35,76.7707939391127,stop,
2,3,True,200,0.33223812468349934,0.8060550838708878,35,73.86818753812895,stop,
2,4,True,200,0.050087499897927046,0.5205070828087628,35,74.40166453834463,stop,
2,5,True,200,0.05066920816898346,0.4991557081229985,35,78.04025317058301,stop,
2,6,True,200,0.04913512524217367,0.49941654223948717,35,77.72916820195762,stop,
2,7,True,200,0.044407499954104424,0.5191654162481427,35,73.7217828260982,stop,
2,8,True,200,0.04470983287319541,0.5185927501879632,35,73.8579060801044,stop,
4,1,True,200,0.11267120810225606,0.5354382498189807,35,82.78791047162984,stop,
4,2,True,200,0.10312550002709031,0.5234895418398082,35,83.26116536769176,stop,
4,3,True,200,0.11211550002917647,0.5350290420465171,35,82.75923214245266,stop,
4,4,True,200,0.11198054114356637,0.5349857504479587,35,82.7412978141699,stop,
4,5,True,200,0.04052587505429983,0.43224729085341096,35,89.34921244629949,stop,
4,6,True,200,0.03865970904007554,0.4321477501653135,35,88.94806535901894,stop,
4,7,True,200,0.03857779083773494,0.43206195812672377,35,88.9489410492462,stop,
4,8,True,200,0.038541417103260756,0.4319601249881089,35,88.96374091657162,stop,
8,1,True,200,0.036111625377088785,0.4351014164276421,35,87.72154271878446,stop,
8,2,True,200,0.044588041957467794,0.3771344581618905,29,87.20587138179573,stop,
8,3,True,200,0.04432033281773329,0.37707437481731176,29,87.151458253471,stop,
8,4,True,200,0.0440523331053555,0.3764805421233177,29,87.23688066566287,stop,
8,5,True,200,0.044142582919448614,0.37646745797246695,29,87.26400632926864,stop,
8,6,True,200,0.04362979205325246,0.3759478749707341,29,87.26578988842154,stop,
8,7,True,200,0.04334766697138548,0.3758326671086252,29,87.22197990294204,stop,
8,8,True,200,0.04283545771613717,0.37530191568657756,29,87.22684440719848,stop,
