trial,success,ttft_s,total_s,speed_tok_s,prompt_tokens,completion_tokens,finish_reason,error
1,True,0.14175170799717307,1.284563542343676,56.00222020504126,37,65,stop,
2,True,0.1863037501461804,1.2217204999178648,61.810860230059426,37,65,stop,
3,True,0.12851400021463633,1.1967331250198185,59.91280114149995,37,65,stop,
4,True,0.20130525017157197,1.2760181669145823,59.55078700827036,37,65,stop,
5,True,0.1230015829205513,1.1946893748827279,59.718884996180655,37,65,stop,
6,True,0.16663604229688644,1.256206416990608,58.73874830525785,37,65,stop,
7,True,0.18570466712117195,1.2493011252954602,60.173197746313406,37,65,stop,
8,True,0.16669104155153036,1.2195971249602735,60.78414875598634,37,65,stop,
9,True,0.13443583296611905,1.199931874871254,60.06591998743263,37,65,stop,
10,True,0.13531133299693465,1.2285711248405278,58.54052300970028,37,65,stop,
11,True,0.13473154185339808,1.2013105838559568,60.00492929228818,37,65,stop,
12,True,0.1353367082774639,1.2011513751931489,60.04796329666473,37,65,stop,
13,True,0.1326244999654591,1.2341264160349965,58.10248631102672,37,65,stop,
14,True,0.13566945865750313,1.214078458957374,59.34668570292315,37,65,stop,
15,True,0.16677129222080112,1.2601788332685828,58.53261258713343,37,65,stop,
16,True,0.12754316627979279,1.2098894999362528,59.130795762748704,37,65,stop,
17,True,0.13621066603809595,1.2101263329386711,59.594996118000786,37,65,stop,
18,True,0.13679949985817075,1.2036797916516662,59.98798599270385,37,65,stop,
19,True,0.13628724962472916,1.1968874586746097,60.34319006719152,37,65,stop,
20,True,0.14058883441612124,1.2147847502492368,59.57944827072205,37,65,stop,
